,0,1,2,3,4,5,6
768,forest,rock,plants,trees,,,
769,forest,rock,plants,trees,,,
770,forest,rock,plants,trees,,,
771,rock,cliff,,,,,
772,rock,cliff,,,,,
773,rock,cliff,,,,,
774,rock,cliff,,,,,
775,rock,cliff,,,,,
776,rock,cliff,,,,,
777,rock,cliff,,,,,
778,rock,cliff,tree,shrubbery,plants,,
779,rock,cliff,tree,shrubbery,plants,,
780,rock,cliff,tree,shrubbery,plants,,
781,plant,nuts,,,,,
782,plant,nuts,,,,,
783,plant,nuts,,,,,
784,plant,nuts,,,,,
785,plant,nuts,,,,,
786,plant,nuts,,,,,
787,plant,nuts,,,,,
788,plant,nuts,,,,,
789,plant,nuts,,,,,
790,plant,nuts,,,,,
791,plant,nuts,,,,,
792,plant,nuts,,,,,
793,shadow,,,,,,
794,nut,,,,,,
795,nut,,,,,,
796,nut,,,,,,
797,nut,peelings,leaves,plant,,,
798,nut,peelings,leaves,plant,,,
799,nut,,,,,,
800,nut,peelings,leaves,plant,,,
801,nut,dirt,peelings,,,,
802,nut,dirt,peelings,,,,
803,nut,,,,,,
804,nut,,,,,,
805,nut,,,,,,
806,nut,rock,shrubbery,,,,
807,nut,rock,shrubbery,,,,
808,nut,rock,shrubbery,,,,
809,rock,leaves,,,,,
810,rock,leaves,,,,,
811,rock,leaves,,,,,
812,nut,,,,,,
813,nut,rock,,,,,
814,nut,rock,,,,,
815,nut,rock,,,,,
816,stone,rock,,,,,
817,stone,rock,nut,,,,
818,stone,rock,,,,,
819,stone,rock,,,,,
820,stone,rock,nut,,,,
821,stone,rock,nut,,,,
822,stone,rock,nut,,,,
823,stone,rock,nut,,,,
824,stone,rock,nut,,,,
825,stone,rock,nut,,,,
826,stone,rock,nut,,,,
827,stone,rock,nut,,,,
828,stone,rock,nut,,,,
829,stone,rock,nut,,,,
830,stone,rock,nut,,,,
831,stone,rock,nut,,,,
832,stone,rock,nut,,,,
833,rock,nut,dirt,,,,
834,nut,,,,,,
835,nut,,,,,,
836,nut,,,,,,
837,nut,,,,,,
838,nut,,,,,,
839,rock,shrubbery,nut,,,,
840,rock,nut,,,,,
841,rock,nut,,,,,
842,rock,nut,,,,,
843,rock,nut,,,,,
844,rock,nut,,,,,
845,rock,nut,,,,,
846,rock,nuts,,,,,
847,rock,nut,,,,,
848,rock,nut,,,,,
849,rock,nut,,,,,
850,rock,nut,,,,,
851,nut,rock,,,,,
852,rock,nut,,,,,
853,rock,nut,,,,,
854,rock,nut,,,,,
855,rock,nut,,,,,
856,rock,nut,,,,,
857,nut,,,,,,
858,nut,rock,,,,,
859,nut,rock,,,,,
860,nut,rock,,,,,
861,nut,rock,,,,,
862,nut,rock,,,,,
863,nut,,,,,,
864,nut,,,,,,
865,,,,,,,
866,,,,,,,
867,,,,,,,
868,,,,,,,
869,,,,,,,
870,droplets,,,,,,
871,droplets,,,,,,
872,droplets,,,,,,
873,,,,,,,
874,,,,,,,
875,,,,,,,
876,,,,,,,
877,,,,,,,
878,,,,,,,
879,,,,,,,
880,,,,,,,
881,,,,,,,
882,,,,,,,
883,,,,,,,
884,,,,,,,
885,,,,,,,
886,,,,,,,
887,,,,,,,
888,,,,,,,
889,,,,,,,
890,,,,,,,
891,,,,,,,
892,,,,,,,
893,,,,,,,
894,,,,,,,
895,,,,,,,
896,,,,,,,
897,,,,,,,
898,,,,,,,
899,,,,,,,
900,,,,,,,
901,,,,,,,
902,,,,,,,
903,,,,,,,
904,,,,,,,
905,trees,forest,,,,,
906,trees,forest,,,,,
907,trees,forest,,,,,
908,trees,forest,,,,,
909,trees,forest,,,,,
910,forest,trees,plants,leaves,,,
911,forest,trees,plants,leaves,,,
912,forest,trees,plants,leaves,,,
913,forest,trees,plants,leaves,,,
914,forest,trees,plants,leaves,,,
915,forest,trees,plants,leaves,,,
916,,,,,,,
917,,,,,,,
918,,,,,,,
919,,,,,,,
920,,,,,,,
921,,,,,,,
922,,,,,,,
923,,,,,,,
924,,,,,,,
925,,,,,,,
926,,,,,,,
927,,,,,,,
928,,,,,,,
929,,,,,,,
930,,,,,,,
931,,,,,,,
932,,,,,,,
933,,,,,,,
934,tree,bark,,,,,
935,tree,bark,,,,,
936,branch,plant,,,,,
937,branch,plant,,,,,
938,leaf,plant,,,,,
939,leaf,plant,,,,,
940,leaf,plant,,,,,
941,leaf,plant,,,,,
942,leaf,plant,,,,,
943,leaf,plant,,,,,
944,leaf,plant,,,,,
945,leaf,plant,,,,,
946,leaf,plant,,,,,
947,leaf,plant,,,,,
948,leaf,plant,,,,,
949,leaf,plant,,,,,
950,leaf,plant,,,,,
951,leaf,plant,,,,,
952,leaf,plant,,,,,
953,leaf,plant,,,,,
954,leaf,plant,,,,,
955,leaf,plant,,,,,
956,leaf,plant,,,,,
957,leaf,plant,,,,,
958,leaf,plant,,,,,
959,leaf,plant,,,,,
960,leaf,plant,,,,,
961,leaf,plant,,,,,
962,leaf,plant,,,,,
963,leaf,plant,,,,,
964,leaf,plant,,,,,
965,leaf,plant,,,,,
966,leaf,plant,,,,,
967,leaf,plant,,,,,
968,leaf,plant,,,,,
969,leaf,plant,,,,,
970,branch,tree,,,,,
971,branch,tree,,,,,
