,0,1,2
1427,swimming,,
1428,swimming,,
1429,swimming,,
1430,swimming,,
1431,swimming,,
1432,swimming,,
1433,swimming,,
1434,swimming,,
1435,swimming,,
1436,,,
1437,,,
1438,,,
1439,,,
1440,,,
1441,swimming,,
1442,swimming,,
1443,swimming,,
1444,swimming,,
1445,swimming,,
1446,swimming,,
1447,swimming,,
1448,swimming,,
1449,swimming,,
1450,,,
1451,,,
1452,climbing,,
1453,climbing,,
1454,climbing,,
1455,climbing,,
1456,climbing,,
1457,climbing,,
1458,climbing,,
1459,climbing,,
1460,climbing,,
1461,climbing,,
1462,climbing,,
1463,climbing,,
1464,climbing,,
1465,climbing,,
1466,climbing,,
1467,climbing,,
1468,climbing,,
1469,climbing,,
1470,climbing,,
1471,climbing,,
1472,climbing,,
1473,climbing,,
1474,,,
1475,,,
1476,climbing,eating,
1477,climbing,eating,
1478,climbing,eating,
1479,eating,,
1480,eating,,
1481,eating,,
1482,eating,,
1483,eating,,
1484,eating,,
1485,eating,,
1486,eating,,
1487,eating,,
