,0,1,2,3
938,insect,,,
939,insect,,,
940,insect,,,
941,insect,,,
942,insect,,,
943,insect,,,
944,insect,,,
945,insect,,,
946,insect,,,
947,insect,,,
948,insect,,,
949,insect,,,
950,insect,,,
951,insect,,,
952,insect,,,
953,insect,,,
954,insect,,,
955,insect,,,
956,insect,,,
957,insect,,,
958,insect,,,
959,insect,,,
960,insect,,,
961,insect,,,
962,insect,,,
963,insect,,,
964,insect,,,
965,insect,,,
966,insect,,,
967,insect,,,
968,insect,,,
969,insect,,,
970,insect,,,
971,insect,,,
972,insect,,,
973,insect,,,
974,insect,,,
975,insect,,,
976,insect,,,
977,insect,,,
978,insect,,,
979,insect,,,
980,insect,,,
981,insect,,,
982,insect,,,
983,insect,,,
984,insect,,,
985,insect,,,
986,insect,,,
987,insect,,,
988,insect,,,
989,insect,,,
990,insect,,,
991,insect,,,
992,insect,,,
993,insect,,,
994,,,,
995,,,,
996,,,,
997,,,,
998,,,,
999,,,,
1000,,,,
1001,lion,birds,,
1002,lion,birds,,
1003,lion,tusk,,
1004,lion,tusk,,
1005,hippo,,,
1006,hippo,,,
1007,hippo,,,
1008,hippo,,,
1009,hippo,,,
1010,hippo,,,
1011,hippo,,,
1012,hippo,,,
1013,hippo,,,
1014,hippo,,,
1015,hippo,,,
1016,hippo,,,
1017,,,,
1018,,,,
1019,,,,
1020,,,,
1021,,,,
1022,,,,
1023,,,,
1024,hippos,,,
1025,hippos,,,
1026,hippos,,,
1027,hippos,head,eyes,
1028,hippos,head,eyes,
1029,hippos,head,eyes,
1030,hippos,heads,,
1031,hippos,heads,,
1032,hippo,birds,,
1033,hippo,birds,,
1034,hippos,head,eyes,
1035,hippos,head,eyes,
1036,hippos,head,eyes,
1037,hippos,head,eyes,
1038,hippo,,,
1039,hippo,,,
1040,hippo,,,
1041,hippo,,,
1042,hippo,,,
1043,hippo,,,
1044,hippo,,,
1045,hippo,,,
1046,hippo,,,
1047,hippo,,,
1048,hippo,,,
1049,hippos,mouths,,
1050,hippos,mouths,,
1051,hippos,,,
1052,hippos,,,
1053,hippos,,,
1054,hippos,,,
1055,hippos,mouths,,
1056,hippos,mouths,,
1057,hippos,mouths,,
1058,hippos,mouths,,
1059,hippos,mouths,,
1060,hippos,mouths,,
1061,hippos,mouths,,
1062,bird,,,
1063,bird,,,
1064,hippo,birds,,
1065,hippo,birds,,
1066,hippo,birds,,
1067,hippo,birds,,
1068,hippo,birds,,
1069,hippo,mouth,,
1070,hippo,mouth,,
1071,hippo,mouth,,
1072,hippo,mouth,,
1073,hippo,mouth,,
1074,hippo,,,
1075,hippo,,,
1076,hippo,,,
1077,hippo,,,
1078,hippo,,,
1079,hippo,,,
1080,hippo,,,
1081,hippo,,,
1082,bird,grebe,,
1083,bird,grebe,,
1084,bird,grebe,,
1085,bird,grebe,,
1086,birds,grebe,,
1087,birds,grebe,,
1088,birds,grebe,,
1089,bird,head,grebe,
